NAME,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
김선빈,KIA,0.37,137,529,476,84,176,34,1,5,227,64,5,4
박건우,두산,0.366,131,543,483,91,177,40,2,20,281,78,5,4
박민우,NC,0.363,106,452,388,84,141,25,4,3,183,47,3,4
나성범,NC,0.347,125,561,498,103,173,42,2,24,291,99,0,3
박용택,LG,0.344,138,596,509,83,175,23,2,14,244,90,0,9
최형우,KIA,0.342,142,629,514,98,176,36,3,26,296,120,0,8
김재환,두산,0.34,144,636,544,110,185,34,2,35,328,115,0,4
로사리오,한화,0.339,119,510,445,100,151,30,1,37,294,111,0,5
손아섭,롯데,0.335,144,667,576,113,193,35,4,20,296,80,1,3
서건창,넥센,0.332,139,615,539,87,179,28,3,6,231,76,2,6
이명기,KIA,0.332,115,512,464,79,154,24,4,9,213,63,14,3
송광민,한화,0.327,117,473,437,71,143,26,0,13,208,75,4,8
이정후,넥센,0.324,144,622,552,111,179,29,8,2,230,47,2,2
전준우,롯데,0.321,110,496,455,76,146,27,1,18,229,69,2,2
이대호,롯데,0.32,142,608,540,73,173,13,0,34,288,111,0,3
버나디나,KIA,0.32,139,621,557,118,178,26,8,27,301,111,3,9
최정,SK,0.316,130,527,430,89,136,18,1,46,294,113,0,8
안치홍,KIA,0.316,132,545,487,95,154,29,2,21,250,93,6,5
러프,삼성,0.315,134,591,515,90,162,38,0,31,293,124,0,4
윤석민,kt,0.312,142,586,538,90,168,30,1,20,260,105,0,7
모창민,NC,0.312,136,527,474,64,148,25,3,17,230,90,3,9
고종욱,넥센,0.312,123,453,426,70,133,24,8,8,197,54,0,2
구자욱,삼성,0.31,144,647,564,108,175,39,10,21,297,107,0,10
김주찬,KIA,0.309,122,478,440,78,136,39,2,12,215,70,2,1
오재일,두산,0.306,128,466,412,62,126,27,0,26,231,89,1,3
유한준,kt,0.306,133,497,445,52,136,19,0,13,194,68,2,3
민병헌,두산,0.304,123,520,447,73,136,21,0,14,199,71,1,6
강한울,삼성,0.303,135,448,412,58,125,9,3,0,140,24,9,1
번즈,롯데,0.303,116,468,423,71,128,38,0,15,211,57,2,3
김하성,넥센,0.302,141,601,526,90,159,36,3,23,270,114,2,7
최주환,두산,0.301,129,452,399,65,120,16,6,7,169,57,1,5
나지완,KIA,0.301,137,551,459,85,138,20,3,27,245,94,0,7
스크럭스,NC,0.3,115,518,437,91,131,24,0,35,260,111,0,4
에반스,두산,0.296,138,581,514,82,152,19,0,27,252,90,0,3
김문호,롯데,0.292,131,448,390,49,114,17,1,2,139,35,7,1
나주환,SK,0.291,122,452,419,69,122,24,1,19,205,65,8,1
최준석,롯데,0.291,125,464,409,43,119,15,0,14,176,82,0,5
권희동,NC,0.286,141,554,472,72,135,20,2,19,216,86,7,7
강민호,롯데,0.285,130,515,456,62,130,22,1,22,220,68,0,3
하주석,한화,0.285,111,470,432,69,123,18,8,11,190,52,9,1
박해민,삼성,0.284,144,638,570,96,162,25,8,7,224,54,8,9
김민성,넥센,0.282,133,530,472,59,133,26,1,15,206,78,0,8
이승엽,삼성,0.28,135,533,472,65,132,30,5,24,244,87,0,8
이범호,KIA,0.272,115,447,382,57,104,14,0,25,193,89,0,6
이원석,삼성,0.265,121,459,411,55,109,20,1,18,185,62,4,6
양석환,LG,0.263,132,496,445,62,117,27,3,14,192,83,2,5
박경수,kt,0.262,131,511,442,62,116,27,1,15,190,66,3,3
