기간,0-4년,5-9년,10-14년,15-19년,20년 이상
2000,7394 ,5295 ,4425 ,3969 ,4376 
2001,8078 ,6325 ,4997 ,4396 ,5150 
2002,7737 ,6478 ,5328 ,4351 ,5456 
2003,7747 ,7097 ,5885 ,4824 ,6945 
2004,6726 ,5799 ,4723 ,3914 ,5832 
2005,6426 ,5398 ,4221 ,3628 ,5627 
2006,6164 ,5048 ,4033 ,3513 ,5596 
2007,6428 ,4900 ,3871 ,3568 ,5848 
2008,6355 ,4105 ,3269 ,3243 ,6347 
2009,6311 ,4448 ,3553 ,3384 ,6224 
2010,5440 ,4164 ,3173 ,3051 ,5940 
2011,5083 ,3993 ,2916 ,2921 ,5704 
2012,4538 ,3825 ,2905 ,2847 ,6062 
2013,4287 ,3687 ,2796 ,2957 ,6399 
2014,4380 ,3447 ,2562 ,2795 ,6293 
2015,3750 ,3208 ,2369 ,2648 ,6201 
2016,3760 ,3147 ,2287 ,2389 ,6194 
,,,,,
